ID,Title,Body HTML,Vendor,Type,Tags,URL,Total Inventory Qty,Row #,Top Row,Image Type,Image Src,Image Command,Image Position,Image Width,Image Height,Image Alt Text,Variant Inventory Item ID,Variant ID,Variant SKU,Variant Barcode,Variant Image,Variant Weight,Variant Weight Unit,Variant Price,Variant Compare At Price
4423564361781,Zuba Lime Floral Print Cotton-Silk Stole,"<p>Infuse a touch of feminine charm into your ensembles with this lime stole from Zuba. Rendered from a lightweight silk-cotton blend for a soft handle, this accessory flaunts intricate floral patterning throughout along with beads at the trims for a modern finish.</p>",Zuba,Dupattas & Shawls,"501 - 1000, Apparel, Cotton, Dupattas & Shawls, Ethnic Wear, Exclude, Free Size, Green, offrange_delete, Sale Pack, Shake Up, Stole, Stoles, Woman, Zuba",https://www.westside.com/products/zuba-lime-floral-print-cotton-silk-stole-300821436,0,3792,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300821436001_1_220f5526-f419-485d-9e8c-d0ac01131e84.jpg?v=1585410274,MERGE,1.0,768.0,1024.0,Zuba Lime Floral Print Cotton-Silk Stole | Lime Floral Print Cotton-Silk Stole for women full view - Westside ,33133441908789.0,31551302598709.0,300821436001.0,2050025449580,,0.0,kg,399.0,599.0
4419416391733,Bombay Paisley Multicolour Stripe Belted Palazzos,"<p>Ideal to bolster your look, these multicolour palazzos by Bombay Paisley will pair effortlessly with both-ethnic and western attire. Designed with vibrant stripes through the length, the chic pair is fashioned with a single pocket at the back and is finished with a sash belt.</p>",Bombay Paisley,Skirts & Palazzos,"1001 - 1500, Apparel, Bombay Paisley, bp-women-ethnic-bottom, Ethnic Wear, Exclude, Kurta & set, L, M, Multi, offrange_delete, Palazzos, Part4, Regular fit, S, Sale Pack, Skirts & Palazzos, Stripes, Viscose, Woman, XS",https://www.westside.com/products/bombay-paisley-multicolour-stripe-belted-palazzos-300822547,0,3796,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300822547_016_1.jpg?v=1577885916,MERGE,1.0,1080.0,1440.0,,33114815758389.0,31537909334069.0,300822547001.0,2050025471185,,0.2,kg,599.0,1099.0
4419426025525,Y&F Kids Navy Self-Textured Trousers,"<p>Perfect for formal occasions, these navy trousers from Y&amp;F will redefine his wardrobe. Milled from a pure-cotton self-textured material for supreme comfort, this pair features an elasticated feature at the waist to meet the needs of your growing child.</p>",Y&F,Trousers,"10-11 Y, 12-13 Y, 13-14 Y, 501-1000, 9-10 Y, Apparel, Boy, Cotton, Denim | Trousers, Exclude, Kids, Love Jan31, Navy, New Essentials Y&F, offrange_delete, Pant, Pants, Part2, Regular, SALE AUG2021, Textured, Trousers, Y&F, Y&F Boy, Y&f-senior-boys-bottom",https://www.westside.com/products/y-f-kids-navy-self-textured-trousers-300816963,0,3800,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300816963003_1.jpg?v=1595408635,MERGE,1.0,768.0,1024.0,,33114874314805.0,31537938432053.0,300816963001.0,2050025363831,,0.2,kg,299.0,499.0
4419415146549,Bombay Paisley Navy Tiered Pure Cotton Dress,"<p>Give a bohemian twist to your closet by adding this navy dress from Bombay Paisley. Created in a tiered profile from a sumptuous pure-cotton fabric for lasting comfort and breathability, this creation flaunts an embroidered floral design at the yoke and has a tie-up at the neck for chic appeal.</p>",Bombay Paisley,Ethnic Dresses,"1001 - 1500, 3/4th sleeve, Apparel, Bombay Paisley, bp-women-topwear, Cotton, Dresses - Western & Curvy, Embroidery, Ethnic Dresses, Ethnic Wear, Exclude, L, M, Navy, offrange_delete, Part4, Regular fit, Round Neck, S, Sale Pack, Woman, XL, XS",https://www.westside.com/products/bombay-paisley-navy-tiered-pure-cotton-dress-300820288,0,3804,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300820288001_4.jpg?v=1594644611,MERGE,1.0,768.0,1024.0,,33114809729077.0,31537906614325.0,300820288001.0,2050025427656,,0.2,kg,599.0,1299.0
4419416490037,Bombay Paisley Navy Stripe Belted Palazzos,"<p>Ideal to bolster your look, these navy palazzos by Bombay Paisley will pair effortlessly with both-ethnic and western attire. Designed with vibrant stripes through the length, the chic pair is fashioned with a single pocket at the back and is finished with a sash belt.</p>",Bombay Paisley,Skirts & Palazzos,"1001 - 1500, Apparel, Bombay Paisley, bp-women-ethnic-bottom, Ethnic Wear, Exclude, Kurta & set, L, M, Navy, offrange_delete, Palazzos, Part4, Regular fit, S, Sale Pack, Skirts & Palazzos, Stripes, Viscose, Woman, XS",https://www.westside.com/products/bombay-paisley-navy-stripe-belted-palazzos-300822548,0,3809,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300822548_068_1.jpg?v=1577885939,MERGE,1.0,1080.0,1440.0,,33114816118837.0,31537909694517.0,300822548001.0,2050025471222,,0.2,kg,599.0,1099.0
4419415932981,Bombay Paisley Grey Checkered Crop-Top,"<p>Elevate your casual edit with this grey crop-top from Bombay Paisley. Created from a lightweight cotton-linen blend fabric for endless comfort, it is decked with checked patterns accented with shimmer coupled with circular patterns for modernity.</p>",Bombay Paisley,Tops & T-shirts,"501 - 1000, Apparel, Bombay Paisley, bp-women-topwear, Checks, Cotton, Ethnic Wear, Exclude, Grey, L, M, offrange_delete, Part4, Regular fit, Round Neck, S, Sale Pack, Short sleeve, Tops, Tops & T-shirts, Woman, XS, XXS",https://www.westside.com/products/bombay-paisley-grey-checkered-crop-top-300820296,0,3813,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300820296001_4.jpg?v=1585410289,MERGE,1.0,768.0,1024.0,,33114813104181.0,31537908416565.0,300820296001.0,2050025428042,,0.2,kg,399.0,599.0
4419413573685,Gia Curve Light Blue Stripe High-Low Oasis Tunic,"<p>Indulge in chic casual pieces like this light blue Oasis tunic from Gia. Designed with a high-low hem, this breezy silhouette features stripe patterns for modern appeal along with pockets for practicality. Partner it with white jeggings for a comfortable feel through the day.</p>",Gia,Casual Shirts,"1001 - 1500, 3/4th Sleeves, Apparel, Blue, Casual Shirts, Cotton, Curvy Women, Exclude, Gia, gia-plussize-women-topwear, L, M, Mandarin collar, offrange_delete, Plus Size, Print, Regular fit, S, Sale Pack, Tunics, Western Wear, Woman, XL, XS, XXL",https://www.westside.com/products/gia-curve-light-blue-stripe-high-low-oasis-tunic-300820215,0,3818,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300820215001_5.jpg?v=1595436105,MERGE,1.0,768.0,1024.0,,33114801602613.0,31537901207605.0,300820215001.0,2050025423771,,0.2,kg,799.0,1299.0
4419415277621,Bombay Paisley Grey Triangle Print Dress,"<p>Blending modern elements and feminine styles, this grey dress from Bombay Paisley is an absolute must-have. Milled from a cotton-linen blend fabric for lasting comfort, this garment sports dual-toned triangle designs with a hint of shimmer for contemporary charm.</p>",Bombay Paisley,Ethnic Dresses,"501 - 1000, Apparel, Boat Neck, Bombay Paisley, bp-women-topwear, Cotton, Dresses - Western & Curvy, Ethnic Dresses, Ethnic Wear, Exclude, Grey, L, M, offrange_delete, Part4, Print, Regular fit, S, Sale Pack, Short sleeve, Woman, XL, XS",https://www.westside.com/products/bombay-paisley-grey-triangle-print-dress-300820290,0,3824,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300820290001_4.jpg?v=1585410308,MERGE,1.0,768.0,1024.0,,33114810023989.0,31537906909237.0,300820290001.0,2050025427755,,0.2,kg,599.0,999.0
4419416031285,Gia Curve White Broderie Anglaise Shine Shirt,"<p>The perfect inclusion to your wardrobe is this white Shine shirt from Gia. An update to a wardrobe staple, this separate is adorned with floral broderie anglaise detailing in the front and back for chic appeal and the pure-cotton creation features mock-buttoning at the sides for added style.</p>",Gia,Casual Shirts,"1001 - 1500, 3/4th Sleeves, Apparel, Casual Shirts, Cotton, Curvy Women, Gia, gia-plussize-women-topwear, L, M, Plus Size, Regular fit, S, Shirt collar, Solid, Western Wear, White, Woman, XL, XS, XXL",https://www.westside.com/products/gia-curve-white-broderie-anglaise-shine-shirt-300821213,0,3833,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300821213_092_4.jpg?v=1577885892,MERGE,1.0,1080.0,1440.0,,33114813530165.0,31537908875317.0,300821213001.0,,,0.2,kg,1299.0,
4419413737525,Gia Curve Blue Middleton Jeans,"<p>Revamp your wardrobe staples with these blue Middleton jeans from Gia. Sporting a faded wash finish along with unfinished hems for urbane charm, this five-pocket pair is crafted from a cotton-blend fabric with a hint of stretch to seamlessly fit the curves of the body.</p>",Gia,Jeans,"1501 - 2000, 32, 34, 36, 38, 40, 42, Apparel, Blue, Cotton, Curvy Women, Denim, Exclude, Gia, gia-plussize-women-bottomwear, Jeans, offrange_delete, Pant, Pants, Plus Size, Regular Fit, Sale Pack, Solid, Western Wear, Woman",https://www.westside.com/products/gia-curve-blue-middleton-jeans-300820221,0,3839,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300820221001_4.jpg?v=1594644683,MERGE,1.0,768.0,1024.0,,33114803994677.0,31537903599669.0,300820221001.0,2050025424136,,0.2,kg,999.0,1799.0
